Speaker,Text,Title,Page Number,Page Heading,Raw
,"20. That 50 per cent, of the children do not attend at all? — ■  Practically 50 per cent, did not go during those weeks. ",,167,CONCLUSIONS AND RECOMMENDATIONS,"20. That 50 per cent, of the children do not attend at all? — ■  Practically 50 per cent, did not go during those weeks. "
,"21. That strikes me as being high. Now, you addressed your  inquiries to ninety-nine cinema houses and only forty-four replied ?  Have you any reason in your mind as to why the other houses did  not reply? — There were quite reasonable grounds for no reply.  It was probably somewhat unusual for them to be asked these  questions, and although I impressed upon the managers that it  was perfectly friendly from my point of view and entirely with  the object of co-operating, I think there was some ground for  wondering what the information was required for. ",,167,CONCLUSIONS AND RECOMMENDATIONS,"21. That strikes me as being high. Now, you addressed your  inquiries to ninety-nine cinema houses and only forty-four replied ?  Have you any reason in your mind as to why the other houses did  not reply? — There were quite reasonable grounds for no reply.  It was probably somewhat unusual for them to be asked these  questions, and although I impressed upon the managers that it  was perfectly friendly from my point of view and entirely with  the object of co-operating, I think there was some ground for  wondering what the information was required for. "
,"22. Would you say that this new industry was a little suspicious  of inquiries being made by public authorities ? — No, I would not  say that. You see, they have not dealt with the Education Com-  mittee in the past, and I suppose any one who deals with this kind  of thing is rather suspicious of any department, or even a central  authority, approaching them. ",,167,CONCLUSIONS AND RECOMMENDATIONS,"22. Would you say that this new industry was a little suspicious  of inquiries being made by public authorities ? — No, I would not  say that. You see, they have not dealt with the Education Com-  mittee in the past, and I suppose any one who deals with this kind  of thing is rather suspicious of any department, or even a central  authority, approaching them. "
,"%% 23. I notice there are only five houses that give performances  exclusively for children. I want your opinion as to children's  entertainments ; for instance, if the entertainment is for children  absolutely, whether adults should be admitted ? — I should not say  that children and adults should not mix at the same entertainment  or in the same building. I think it is reasonable to arrange under  certain conditions for special entertainments for children and for ",,167,CONCLUSIONS AND RECOMMENDATIONS,"%% 23. I notice there are only five houses that give performances  exclusively for children. I want your opinion as to children's  entertainments ; for instance, if the entertainment is for children  absolutely, whether adults should be admitted ? — I should not say  that children and adults should not mix at the same entertainment  or in the same building. I think it is reasonable to arrange under  certain conditions for special entertainments for children and for "
,,,168,CONCLUSIONS AND RECOMMENDATIONS,## p. 168  168 PROVISION FOR CHILDREN 
,"special entertainments for adults, most of all for special enter-  tainments for children. ",,168,CONCLUSIONS AND RECOMMENDATIONS,"special entertainments for adults, most of all for special enter-  tainments for children. "
,"24. You would never have an entertainment for children from  which you exclude the adults ? — I think that any entertainment  exclusively for children might be considered satisfactory for adults  and adults might be admitted, but I do not think the opposite  is true. ",,168,CONCLUSIONS AND RECOMMENDATIONS,"24. You would never have an entertainment for children from  which you exclude the adults ? — I think that any entertainment  exclusively for children might be considered satisfactory for adults  and adults might be admitted, but I do not think the opposite  is true. "
,"25. And the restrictions you have at Manchester with regard  to the exhibitions, there is nothing very out of the way about them ?  — So long as the regulations are carried out. ",,168,CONCLUSIONS AND RECOMMENDATIONS,"25. And the restrictions you have at Manchester with regard  to the exhibitions, there is nothing very out of the way about them ?  — So long as the regulations are carried out. "
,"26. It is stated there that the performances must not continue  later than eleven o'clock. Does that mean that the children are  allowed to go there up till eleven o'clock at night ? — That is so, and  I think I said in my evidence that only six houses exclude children  from the second house unless accompanied by an adult. I cer-  tainly think children should not be allowed to stay until eleven  o'clock at night. ",,168,CONCLUSIONS AND RECOMMENDATIONS,"26. It is stated there that the performances must not continue  later than eleven o'clock. Does that mean that the children are  allowed to go there up till eleven o'clock at night ? — That is so, and  I think I said in my evidence that only six houses exclude children  from the second house unless accompanied by an adult. I cer-  tainly think children should not be allowed to stay until eleven  o'clock at night. "
,"27. Would you be inclined to say that the second house should  be closed to children ? — I should certainly say that, and I would  prefer to see children — ^that is, those under fourteen years of age  — excluded after eight o'clock. ",,168,CONCLUSIONS AND RECOMMENDATIONS,"27. Would you be inclined to say that the second house should  be closed to children ? — I should certainly say that, and I would  prefer to see children — ^that is, those under fourteen years of age  — excluded after eight o'clock. "
,"28. These children are to come out at eight o'clock, and you  must bear in mind their parents do not see that they go to bed  at eight o'clock ? — I am thinking mostly when I say eight o'clock  of the fact that you will not make a child go to bed at any par-  ticular time, whilst you can. make them leave the picture house. ",,168,CONCLUSIONS AND RECOMMENDATIONS,"28. These children are to come out at eight o'clock, and you  must bear in mind their parents do not see that they go to bed  at eight o'clock ? — I am thinking mostly when I say eight o'clock  of the fact that you will not make a child go to bed at any par-  ticular time, whilst you can. make them leave the picture house. "
,"29. Would you like an adult attendant to be provided to keep  order in regard to the children's entertainments ? — I think that is  a very important point. One of my real complaints is that great  harm may be done, and I believe is done, by the lack of proper  supervision. In regard to this matter, when the houses were built  and the films prepared and the general arrangements made,  children were forgotten, and had to fit in under the conditions  provided for adults. Now not only at the entrance is there a  great deal of supervision required ; but the lack of proper super-  vision when the children are in their seats is, in my opinion,  detrimental to them. I will take one point, the question of  seating. Children are made to sit in a way detrimental both to  their health and their morals. I can give a case, for instance,  where something like this occurred that, say 300 children, have  had to sit upon seats prepared for 200 adults. The seats are  tip-up seats with no arms, so that the children can be pushed  together, and that is bad and ought not to be allowed. Then again,  the children are allowed to mix together, and there is no arrange-  ment in some of the halls where children at the back can see over  the children in front. All these things are bad for the children,  and I feel in this matter that the physical side is of great  importance. ",,168,CONCLUSIONS AND RECOMMENDATIONS,"29. Would you like an adult attendant to be provided to keep  order in regard to the children's entertainments ? — I think that is  a very important point. One of my real complaints is that great  harm may be done, and I believe is done, by the lack of proper  supervision. In regard to this matter, when the houses were built  and the films prepared and the general arrangements made,  children were forgotten, and had to fit in under the conditions  provided for adults. Now not only at the entrance is there a  great deal of supervision required ; but the lack of proper super-  vision when the children are in their seats is, in my opinion,  detrimental to them. I will take one point, the question of  seating. Children are made to sit in a way detrimental both to  their health and their morals. I can give a case, for instance,  where something like this occurred that, say 300 children, have  had to sit upon seats prepared for 200 adults. The seats are  tip-up seats with no arms, so that the children can be pushed  together, and that is bad and ought not to be allowed. Then again,  the children are allowed to mix together, and there is no arrange-  ment in some of the halls where children at the back can see over  the children in front. All these things are bad for the children,  and I feel in this matter that the physical side is of great  importance. "
,"%% 30. Supposing you had the cinema supervised, would you have  that done by people appointed by the trade or the local authori-  ties ? — I have not thought of that, but on the spur of the moment ",,168,CONCLUSIONS AND RECOMMENDATIONS,"%% 30. Supposing you had the cinema supervised, would you have  that done by people appointed by the trade or the local authori-  ties ? — I have not thought of that, but on the spur of the moment "
,,,169,CONCLUSIONS AND RECOMMENDATIONS,## p. 169  CENSORSHIP 169 
,"I would say I would like the trade to make their own arrangements,  but I should like supervision by the educational authority. By  supervision I mean such things as the right of inspection. ",,169,CONCLUSIONS AND RECOMMENDATIONS,"I would say I would like the trade to make their own arrangements,  but I should like supervision by the educational authority. By  supervision I mean such things as the right of inspection. "
,31. I think you would find then that the better part of the trade  would be aware that the wisest thing would be to fall into line with  the local authorities as far as possible ? — I have found that to be  the case. ,,169,CONCLUSIONS AND RECOMMENDATIONS,31. I think you would find then that the better part of the trade  would be aware that the wisest thing would be to fall into line with  the local authorities as far as possible ? — I have found that to be  the case. 
,"32. In your evidence you say there should be longer intervals  between the showing of successive films. Will you tell us why?  — If there were longer intervals I think the eyestrain would be  considerably relieved. The actual concentration on the pictures  would be reduced throughout the performance. I would like to  see an interval of that kind utilised, say, by explanations from a  capable man. If that could not be done, I would like to have  music between, something to relieve the concentration and make  the show educational. ",,169,CONCLUSIONS AND RECOMMENDATIONS,"32. In your evidence you say there should be longer intervals  between the showing of successive films. Will you tell us why?  — If there were longer intervals I think the eyestrain would be  considerably relieved. The actual concentration on the pictures  would be reduced throughout the performance. I would like to  see an interval of that kind utilised, say, by explanations from a  capable man. If that could not be done, I would like to have  music between, something to relieve the concentration and make  the show educational. "
,"33. Supposing you were absolutely free to decide, would you  like a central Board of Censors who shall be supreme, or would  you like a censorship in each locality ? — Speaking from the point  of view of Manchester, I would rather have the censorship in  Manchester than in London. ",,169,CONCLUSIONS AND RECOMMENDATIONS,"33. Supposing you were absolutely free to decide, would you  like a central Board of Censors who shall be supreme, or would  you like a censorship in each locality ? — Speaking from the point  of view of Manchester, I would rather have the censorship in  Manchester than in London. "
,"34. Supposing the censorship was of this kind, that it included  people from, say, Manchester, and people from London who met  at a centre and dealt with the matter from a central point of view,  that would not please you so much as the local censorship? —  Personally, it would not, but I think the great point is that the  right people should be on the Board of Censors. It requires people  who know something of children, their capabilities and their  outlook. So long as the right men and women — and if there  should be a difference in the number I say more women than  men — are on the Board, I am not concerned so much where the  censorship Board meets. ",,169,CONCLUSIONS AND RECOMMENDATIONS,"34. Supposing the censorship was of this kind, that it included  people from, say, Manchester, and people from London who met  at a centre and dealt with the matter from a central point of view,  that would not please you so much as the local censorship? —  Personally, it would not, but I think the great point is that the  right people should be on the Board of Censors. It requires people  who know something of children, their capabilities and their  outlook. So long as the right men and women — and if there  should be a difference in the number I say more women than  men — are on the Board, I am not concerned so much where the  censorship Board meets. "
,"35. Do you think anything can be done in the school with regard  to teaching education by means of the cinematograph ? — When I  was in Newcastle I tried an experiment of that sort by setting up  a screen and an apparatus generally in a school, and that experi-  ment was carried on for a little over six months. All I can say  about it is that it justified a further experiment. That was at  a time when really good films for children were few. I believe  there is an opening for a large authority to deal with this question  from an educational point of view. ",,169,CONCLUSIONS AND RECOMMENDATIONS,"35. Do you think anything can be done in the school with regard  to teaching education by means of the cinematograph ? — When I  was in Newcastle I tried an experiment of that sort by setting up  a screen and an apparatus generally in a school, and that experi-  ment was carried on for a little over six months. All I can say  about it is that it justified a further experiment. That was at  a time when really good films for children were few. I believe  there is an opening for a large authority to deal with this question  from an educational point of view. "
,"%% 36. With regard to the entertaii^iinent or amusement of children,  do you think that any kind of amusement is definitely satisfactory  to a child if that amusement to some extent is regulated and  ordered by the authority the child is under for the rest of the day ?  — I will answer that by the action I have taken myself with regard  to the recreative play centres we are about to set up in Manchester.  We may do that through organisations already in existence so  long as the Education Committee approves, or we may do it our-  selves in co-operation with them. I say it will not be done  adequately or satisfactorily unless the local authorities take it in ",,169,CONCLUSIONS AND RECOMMENDATIONS,"%% 36. With regard to the entertaii^iinent or amusement of children,  do you think that any kind of amusement is definitely satisfactory  to a child if that amusement to some extent is regulated and  ordered by the authority the child is under for the rest of the day ?  — I will answer that by the action I have taken myself with regard  to the recreative play centres we are about to set up in Manchester.  We may do that through organisations already in existence so  long as the Education Committee approves, or we may do it our-  selves in co-operation with them. I say it will not be done  adequately or satisfactorily unless the local authorities take it in "
,,,170,CONCLUSIONS AND RECOMMENDATIONS,## p. 170  170 EDUCATIONAL SUPERVISION 
,"hand, but I do not suggest that the local authority should do it  exclusively itself. ",,170,CONCLUSIONS AND RECOMMENDATIONS,"hand, but I do not suggest that the local authority should do it  exclusively itself. "
,"37. What you would really like would be that the Education  Committee and the cinema trade should, for the benefit of the  children from an amusement and educative point of view, co-  operate generally for the children ? — Yes. ",,170,CONCLUSIONS AND RECOMMENDATIONS,"37. What you would really like would be that the Education  Committee and the cinema trade should, for the benefit of the  children from an amusement and educative point of view, co-  operate generally for the children ? — Yes. "
,"38. Professor H. Gollancz. You agree that a subdued light  does not in any way interfere with the performance ? — I have seen  very dark halls and really light ones, and I would prefer the light  ones from every point of view. I believe that while relieving eye-  strd,in, apart from other matters, from my point of view the value  of the pictures did not suffer because of the more highly diffused  light. ",,170,CONCLUSIONS AND RECOMMENDATIONS,"38. Professor H. Gollancz. You agree that a subdued light  does not in any way interfere with the performance ? — I have seen  very dark halls and really light ones, and I would prefer the light  ones from every point of view. I believe that while relieving eye-  strd,in, apart from other matters, from my point of view the value  of the pictures did not suffer because of the more highly diffused  light. "
,"39. Lieut.-Gen. Sir R.Baden-Powell's Representative. Are  there promenades or standing room in the halls ? — I have not been  in the ninety-nine halls, as you will understand, but I have been in  some of the best houses and in some of the worst. I have never  seen any promenading down the sides or down the middle of the  hall beyond going to the seats. I have never seen a real promenade  at the back, but I have seen people standing at the back; in fact,  I have stood at the back many times myself. I have been in no  house in Manchester where people are allowed to stand at the back  to such a depth that the passage is interfered with. ",,170,CONCLUSIONS AND RECOMMENDATIONS,"39. Lieut.-Gen. Sir R.Baden-Powell's Representative. Are  there promenades or standing room in the halls ? — I have not been  in the ninety-nine halls, as you will understand, but I have been in  some of the best houses and in some of the worst. I have never  seen any promenading down the sides or down the middle of the  hall beyond going to the seats. I have never seen a real promenade  at the back, but I have seen people standing at the back; in fact,  I have stood at the back many times myself. I have been in no  house in Manchester where people are allowed to stand at the back  to such a depth that the passage is interfered with. "
,40. Have you ever known of improper behaviour in the standing  room ? — I have never seen it nor heard of it. ,,170,CONCLUSIONS AND RECOMMENDATIONS,40. Have you ever known of improper behaviour in the standing  room ? — I have never seen it nor heard of it. 
,41. Which type of film attracts the children the most ? — I am  sorry to say the comic. ,,170,CONCLUSIONS AND RECOMMENDATIONS,41. Which type of film attracts the children the most ? — I am  sorry to say the comic. 
,"42. Mr. Newbould. In your evidence you say : "" The Educa-  tion Committee should have the right of supervision of all cinema  houses so far as the children's interests are concerned."" Should  they not first of all have the supervision of the children's homes  and home life? — To some extent I suppose some other local  authority is supposed to carry that out. The whole root of the  nlatter is the question of housing and the bad conditions of the  streets. I mean the mean, narrow streets where there are no  playgrounds, and then I should say there is not the slightest doubt  that the picture houses are more comfortable than the home. ",,170,CONCLUSIONS AND RECOMMENDATIONS,"42. Mr. Newbould. In your evidence you say : "" The Educa-  tion Committee should have the right of supervision of all cinema  houses so far as the children's interests are concerned."" Should  they not first of all have the supervision of the children's homes  and home life? — To some extent I suppose some other local  authority is supposed to carry that out. The whole root of the  nlatter is the question of housing and the bad conditions of the  streets. I mean the mean, narrow streets where there are no  playgrounds, and then I should say there is not the slightest doubt  that the picture houses are more comfortable than the home. "
,"43. Dr. Saleeby. Can you give us any idea why in Manchester  singers are not allowed between the films ? — This is the by-law :  "" Singing shall not be permitted and no variety entertainment  shall be allowed in any premises licensed under the Act which does  not have a theatre licence."" ",,170,CONCLUSIONS AND RECOMMENDATIONS,"43. Dr. Saleeby. Can you give us any idea why in Manchester  singers are not allowed between the films ? — This is the by-law :  "" Singing shall not be permitted and no variety entertainment  shall be allowed in any premises licensed under the Act which does  not have a theatre licence."" "
,44. Mr. King. Would you require a child which has been  accompanied by its parents to be sent away at eight o'clock and  the parents remain? — I think the parents must make up their  minds as to what to do. I think that children under fourteen years  of age should generally be in their own houses at nine o'clock. ,,170,CONCLUSIONS AND RECOMMENDATIONS,44. Mr. King. Would you require a child which has been  accompanied by its parents to be sent away at eight o'clock and  the parents remain? — I think the parents must make up their  minds as to what to do. I think that children under fourteen years  of age should generally be in their own houses at nine o'clock. 
,45. Mr. Graves. How often do you think a child ought to  attend ? — I think one attendance a week is sufficient for any child  who is still in attendance at school. ,,170,CONCLUSIONS AND RECOMMENDATIONS,45. Mr. Graves. How often do you think a child ought to  attend ? — I think one attendance a week is sufficient for any child  who is still in attendance at school. 
,"%% 46. Mr. Edgar Jepson. If the choice were open, would you ",,170,CONCLUSIONS AND RECOMMENDATIONS,"%% 46. Mr. Edgar Jepson. If the choice were open, would you "
,,,171,CONCLUSIONS AND RECOMMENDATIONS,## p. 171  MR. EDWARD NICHOLLS' EVIDENCE 171 
,prefer a child to go once a week to a music hall or to a cinema ?  — To a cinema. I might tell you that I have had evidence from  teachers that children who go to cinemas habitually suffer from  lassitude. ,,171,CONCLUSIONS AND RECOMMENDATIONS,prefer a child to go once a week to a music hall or to a cinema ?  — To a cinema. I might tell you that I have had evidence from  teachers that children who go to cinemas habitually suffer from  lassitude. 
,"47. Are those who go once a week more intelligent than those  who do not go at all ? — I was only speaking from the physical side.  I think in some respects the children who go to cinemas gain  intellectually, but in some respects they suffer. It is difficult to  compare these things. You must remember this, that this habit  of going to cinemas is so deep in the lives of the children, that those  who go once now will probably soon be going oftener, and this is  likely to spread. ",,171,CONCLUSIONS AND RECOMMENDATIONS,"47. Are those who go once a week more intelligent than those  who do not go at all ? — I was only speaking from the physical side.  I think in some respects the children who go to cinemas gain  intellectually, but in some respects they suffer. It is difficult to  compare these things. You must remember this, that this habit  of going to cinemas is so deep in the lives of the children, that those  who go once now will probably soon be going oftener, and this is  likely to spread. "
,,STATEMENT OF EDWARD NICHOLLS ,171,CONCLUSIONS AND RECOMMENDATIONS,STATEMENT OF EDWARD NICHOLLS 
,,,171,CONCLUSIONS AND RECOMMENDATIONS,Pr:^cis 
,"In addition to the theatres under my control I have repeatedly  visited many others in important towns, and I am able to say  that the music does not fall short of the standard observed at the  theatres under my control ; but on the other hand a healthy com-  petition tends continually to raise this standard to a higher and  higher level. ",,171,CONCLUSIONS AND RECOMMENDATIONS,"In addition to the theatres under my control I have repeatedly  visited many others in important towns, and I am able to say  that the music does not fall short of the standard observed at the  theatres under my control ; but on the other hand a healthy com-  petition tends continually to raise this standard to a higher and  higher level. "
,"The permanent musical staff under my control number 250,  all first-class musicians, an average of twelve per theatre, but this  number is occasionally augmented for special performances. ",,171,CONCLUSIONS AND RECOMMENDATIONS,"The permanent musical staff under my control number 250,  all first-class musicians, an average of twelve per theatre, but this  number is occasionally augmented for special performances. "
,"The combination of the orchestras varies from trios, quin-  tets, septets, and so on, two separate orchestras (with one or  two exceptions) being employed at each theatre to ensure con-  tinuous orchestral music throughout the day's performance. ",,171,CONCLUSIONS AND RECOMMENDATIONS,"The combination of the orchestras varies from trios, quin-  tets, septets, and so on, two separate orchestras (with one or  two exceptions) being employed at each theatre to ensure con-  tinuous orchestral music throughout the day's performance. "
,"In addition, we have a permanent Symphony Orchestra of forty-  five most highly skilled musicians. The object of this orchestra  is to tour the Company's theatres from time to time for a season. ",,171,CONCLUSIONS AND RECOMMENDATIONS,"In addition, we have a permanent Symphony Orchestra of forty-  five most highly skilled musicians. The object of this orchestra  is to tour the Company's theatres from time to time for a season. "
,"The cost of the Company's orchestras is approximately £33,000  to £34,000 a year. ",,171,CONCLUSIONS AND RECOMMENDATIONS,"The cost of the Company's orchestras is approximately £33,000  to £34,000 a year. "
,"The standard of music played varies from the old classics,  modern classics, suites, overtures, entr'actes, etc., down to the  modern up-to-date musical comedy, rag-time, etc. ",,171,CONCLUSIONS AND RECOMMENDATIONS,"The standard of music played varies from the old classics,  modern classics, suites, overtures, entr'actes, etc., down to the  modern up-to-date musical comedy, rag-time, etc. "
,"Instructions have always been to make high-clas*s music a  feature at these theatres, but unfortunately owing to the many  idiosyncrasies of the existing music licences in some of our pro-  vincial towns it has not always been an easy task to carry this  out. ",,171,CONCLUSIONS AND RECOMMENDATIONS,"Instructions have always been to make high-clas*s music a  feature at these theatres, but unfortunately owing to the many  idiosyncrasies of the existing music licences in some of our pro-  vincial towns it has not always been an easy task to carry this  out. "
,"For instance, some months ago, I wished to install the Symphony  Orchestra for a season at our theatre in Oxford Street, Manchester,  but the magistrates most strongly opposed the scheme, and it  was only allowed after a strenuous effort on our part on condition  that the Symphony Orchestra only accompanied the pictures and  did not play any special selections / ",,171,CONCLUSIONS AND RECOMMENDATIONS,"For instance, some months ago, I wished to install the Symphony  Orchestra for a season at our theatre in Oxford Street, Manchester,  but the magistrates most strongly opposed the scheme, and it  was only allowed after a strenuous effort on our part on condition  that the Symphony Orchestra only accompanied the pictures and  did not play any special selections / "
,Recently on another occasion we applied for a licence for the  Symphony Orchestra to play at our theatre in Wolverhampton. ,,171,CONCLUSIONS AND RECOMMENDATIONS,Recently on another occasion we applied for a licence for the  Symphony Orchestra to play at our theatre in Wolverhampton. 
,,,172,CONCLUSIONS AND RECOMMENDATIONS,## p. 172  172 CINEMA MUSIC 
,"Again I was informed by the Magistrates' Clerk that they had no  power to grant us the favour as the music hcence clearly stipulated  that no brass instrument could be allowed in any picture theatre  orcJiestra in that town / I pleaded that the Directors were most  desirous of giving to their patrons a season of entertainment of  the highest educational order, but the only satisfaction I received  was a humorously absurd suggestion : "" Why not send the  Symphony Orchestra without the brass instruments ! "" Similar  absurd conditions prevail in other towns on the circuit. ",,172,CONCLUSIONS AND RECOMMENDATIONS,"Again I was informed by the Magistrates' Clerk that they had no  power to grant us the favour as the music hcence clearly stipulated  that no brass instrument could be allowed in any picture theatre  orcJiestra in that town / I pleaded that the Directors were most  desirous of giving to their patrons a season of entertainment of  the highest educational order, but the only satisfaction I received  was a humorously absurd suggestion : "" Why not send the  Symphony Orchestra without the brass instruments ! "" Similar  absurd conditions prevail in other towns on the circuit. "
,"At the commencement of war my Directors, wishing to stimulate  patriotism with a view to recruiting, requested me to engage  one or two well-known singers to tour their theatres and sing only  patriotic songs. Having engaged these artistes at very heavy  fees, we were confronted with the same opposition. In some  toAvns they were not permitted to appear. In Manchester after  very great trouble one singer was allowed on condition that the  sum of £50 was given to the local branch of the Prince of Wales's  fund. ",,172,CONCLUSIONS AND RECOMMENDATIONS,"At the commencement of war my Directors, wishing to stimulate  patriotism with a view to recruiting, requested me to engage  one or two well-known singers to tour their theatres and sing only  patriotic songs. Having engaged these artistes at very heavy  fees, we were confronted with the same opposition. In some  toAvns they were not permitted to appear. In Manchester after  very great trouble one singer was allowed on condition that the  sum of £50 was given to the local branch of the Prince of Wales's  fund. "
,"In many of our theatres we have solo instrumentalists of very  considerable merit, and a practice was instituted to give a short  musical selection or solo between the pictures. This innovation  met with considerable success, but unfortunately in several places  we were informed that it was contrary to the provisions of our  music licence. ",,172,CONCLUSIONS AND RECOMMENDATIONS,"In many of our theatres we have solo instrumentalists of very  considerable merit, and a practice was instituted to give a short  musical selection or solo between the pictures. This innovation  met with considerable success, but unfortunately in several places  we were informed that it was contrary to the provisions of our  music licence. "
,During my experience for the last five years I have come to the  conclusion that music plays and will play a still more' important  part in this class of amusement. ,,172,CONCLUSIONS AND RECOMMENDATIONS,During my experience for the last five years I have come to the  conclusion that music plays and will play a still more' important  part in this class of amusement. 
,,MINUTES OF EVIDENCE ,172,CONCLUSIONS AND RECOMMENDATIONS,MINUTES OF EVIDENCE 
,,,172,CONCLUSIONS AND RECOMMENDATIONS,Edward Nicholls. Examined. 
,"1. The Chairman. You are a composer? You have been  through France, Germany, Holland, Belgium and Italy in a musical  capacity ? You are now a director of music of a company con-  trolling twenty-one cinema theatres, all in the provinces ? — Yes. ",,172,CONCLUSIONS AND RECOMMENDATIONS,"1. The Chairman. You are a composer? You have been  through France, Germany, Holland, Belgium and Italy in a musical  capacity ? You are now a director of music of a company con-  trolling twenty-one cinema theatres, all in the provinces ? — Yes. "
,"2. As far as you can judge, do you find that music attracts  to the cinemas ? The better the music the more likely the people  are to come ? — I think so ; I think music has played a very im-  portant part, much more so in the last five years. It is gradually  growing and playing a still more important part. ",,172,CONCLUSIONS AND RECOMMENDATIONS,"2. As far as you can judge, do you find that music attracts  to the cinemas ? The better the music the more likely the people  are to come ? — I think so ; I think music has played a very im-  portant part, much more so in the last five years. It is gradually  growing and playing a still more important part. "
,"3. And is there a great deal of pains taken now as regards the  music appropriate to a particular drama or whatever may be  on? — That has been our greatest difficulty. We have certainly  battled with it as far as possible. It could only be dealt with by  some sort of automatic arrangement which would be impossible.  So far as the synchronisation goes, we do that as far as possible,  but to try and synchronise to the very moment is almost impos-  sible; and therefore we deal with it by creating an atmosphere  in keeping with the picture. ",,172,CONCLUSIONS AND RECOMMENDATIONS,"3. And is there a great deal of pains taken now as regards the  music appropriate to a particular drama or whatever may be  on? — That has been our greatest difficulty. We have certainly  battled with it as far as possible. It could only be dealt with by  some sort of automatic arrangement which would be impossible.  So far as the synchronisation goes, we do that as far as possible,  but to try and synchronise to the very moment is almost impos-  sible; and therefore we deal with it by creating an atmosphere  in keeping with the picture. "
,%% 4. Now is there a direct opposition to the cinema having singing ,,172,CONCLUSIONS AND RECOMMENDATIONS,%% 4. Now is there a direct opposition to the cinema having singing 
,,,173,CONCLUSIONS AND RECOMMENDATIONS,## p. 173  MAGISTRATES' OBJECTIONS 178 
,"and also excellent music on the part of the other entertainments  such as the music hall? — Of course, there are occasions when  there is certain opposition, but I have known of none in my  experience in that way. The opposition has simply been the  pig-headedness of the magistrates. ",,173,CONCLUSIONS AND RECOMMENDATIONS,"and also excellent music on the part of the other entertainments  such as the music hall? — Of course, there are occasions when  there is certain opposition, but I have known of none in my  experience in that way. The opposition has simply been the  pig-headedness of the magistrates. "
,"5. Has there been an opposition engineered by the music  hails? — No, and I can prove that in Wolverhampton the music  halls wanted us to get the necessary licence. ",,173,CONCLUSIONS AND RECOMMENDATIONS,"5. Has there been an opposition engineered by the music  hails? — No, and I can prove that in Wolverhampton the music  halls wanted us to get the necessary licence. "
,"6. I am a little puzzled as to what the objection can be. — It  has also been a great puzzle to me. Now in Manchester on one  occasion we wished to install a symphony orchestra there, and no  one could object to that orchestra, but permission was refused.  It seemed rather absurd to think that the restriction was simply  placed there by some licensing law that ought to be obsolete.  On this occasion the police passed it, the Watch Committee  acquiesced in it, and the magistrate said : "" What is this ? Why,  your music licence says so-and-so. Is it going to play to the  pictures?"" I said: ""Yes""; but still they refused it. This  orchestra was going to play special selections, and I wanted to  know what difference it made to have a special selection. ",,173,CONCLUSIONS AND RECOMMENDATIONS,"6. I am a little puzzled as to what the objection can be. — It  has also been a great puzzle to me. Now in Manchester on one  occasion we wished to install a symphony orchestra there, and no  one could object to that orchestra, but permission was refused.  It seemed rather absurd to think that the restriction was simply  placed there by some licensing law that ought to be obsolete.  On this occasion the police passed it, the Watch Committee  acquiesced in it, and the magistrate said : "" What is this ? Why,  your music licence says so-and-so. Is it going to play to the  pictures?"" I said: ""Yes""; but still they refused it. This  orchestra was going to play special selections, and I wanted to  know what difference it made to have a special selection. "
,7. But they allow special individuals to play? — Yes. ,,173,CONCLUSIONS AND RECOMMENDATIONS,7. But they allow special individuals to play? — Yes. 
,,,173,CONCLUSIONS AND RECOMMENDATIONS,8. You had a Russian violinist playing in Birmingham ? — Yes. 
,"9. But supposing he wanted to sing a song, that would not be  allowed ? — No. ",,173,CONCLUSIONS AND RECOMMENDATIONS,"9. But supposing he wanted to sing a song, that would not be  allowed ? — No. "
,10. Do you have to get a separate licence in those cities where  you are allowed to have music and singing? — I think there are  only one or two theatres where there is a singing and music licence. ,,173,CONCLUSIONS AND RECOMMENDATIONS,10. Do you have to get a separate licence in those cities where  you are allowed to have music and singing? — I think there are  only one or two theatres where there is a singing and music licence. 
,"11. Some of the objections taken to the cinemas as they now  are will be immensely lessened if you have music in between,  and therefore, it seems to me they would be helping the authorities  to make the cinemas more what they ought to be like, that is, of  course, if they allow the music and singing. Do you think the  authorities understand this point ? — Yes, I do, but it seems that  they are such a long time in conceiving the benefit that would  arise. ",,173,CONCLUSIONS AND RECOMMENDATIONS,"11. Some of the objections taken to the cinemas as they now  are will be immensely lessened if you have music in between,  and therefore, it seems to me they would be helping the authorities  to make the cinemas more what they ought to be like, that is, of  course, if they allow the music and singing. Do you think the  authorities understand this point ? — Yes, I do, but it seems that  they are such a long time in conceiving the benefit that would  arise. "
,12. Do you get requests for special pieces of music ? — Yes. ,,173,CONCLUSIONS AND RECOMMENDATIONS,12. Do you get requests for special pieces of music ? — Yes. 
,"13. Do you think there is now considerable evidence of musical  progress ? — Yes. For instance, it was a great surprise to me only  quite recently in Manchester and in Glasgow to see our first and  second row of seats in the stalls filled with musical students, as  I have myself sat several times, simply to watch the symphony  orchestra and to follow them with the scores. ",,173,CONCLUSIONS AND RECOMMENDATIONS,"13. Do you think there is now considerable evidence of musical  progress ? — Yes. For instance, it was a great surprise to me only  quite recently in Manchester and in Glasgow to see our first and  second row of seats in the stalls filled with musical students, as  I have myself sat several times, simply to watch the symphony  orchestra and to follow them with the scores. "
,14. Why are singers or brass instruments barred? — We do not  know. ,,173,CONCLUSIONS AND RECOMMENDATIONS,14. Why are singers or brass instruments barred? — We do not  know. 
,,,173,CONCLUSIONS AND RECOMMENDATIONS,15. Are musical entr'actes popular? — Very. 
